Question,Evidence,Conclusion,Confidence,Remaining Limitation
Which architectures are physically feasible?,All four ArchitectureResult.feasible=True in this controlled benchmark,"All four (Manual, Automated, MRT_DOMINANT, HYBRID_MRT) are feasible for the whole-oncology benchmark demand",high (within controlled benchmark),Feasibility not re-verified for arbitrary campus geometries beyond the tested translation/rotation deltas
Which meet qualified demand?,nuclear_qualified_completed=19 for all four (retention-qualified),All four meet the same qualified nuclear demand in this benchmark (shared retention envelope structure),high,General-logistics streams also show 170/170 served for all 4 -- no unmet demand in this controlled case
Which has lowest known CapEx?,chart 09/11: Manual new_study_capex=$0,Manual Conventional has the lowest new-study CapEx (no new transport assets),high,n/a
Which has lowest known OPEX?,"chart 10/11: Manual annual_opex=1,750,320.00 is lowest among the 4",Manual Conventional has the lowest annual OPEX in this benchmark,high,n/a
Which has superior lifecycle economics where comparable?,chart 11: cost-only ranking Manual < Automated < MRT_DOMINANT < HYBRID_MRT (zone-level),Manual Conventional has the lowest lifecycle cost for this controlled facility; MRT/Hybrid's larger CapEx (guideway/carriers/endpoints) is not offset by proportional OPEX savings at this facility's scale,high (for this specific benchmark scale/geometry),Result is scale/geometry-dependent -- NOT a general claim that Manual always wins; sensitivity tests show MRT/Hybrid economics change materially with geometry (e.g. campus separation)
What drives each result?,chart 09/10 line items,"Manual: near-zero CapEx, moderate labor OPEX. Automated: added AGV/PTS CapEx not offset by labor savings at this scale. MRT/Hybrid: large guideway/carrier/endpoint CapEx dominates lifecycle cost.",high,n/a
How sensitive is each architecture to geometry?,chart 12/13/14: campus translation changes CapEx/OPEX/NPV materially; rotation about own origin is invariant; room relocation changes route/timing,MRT/Hybrid campus economics are directly sensitive to inter-building distance; Manual/Automated route timing is directly sensitive to room-level distance; none are sensitive to a rotation about their own already-collocated connection point,high (for tested transforms),"Building rotation was only tested about the building's own local origin (connection point); rotation about an OFFSET pivot, or moving individual rooms within a building post-rotation, was not separately re-tested this build"
Did building translation alter economics?,chart 14,"Yes -- CapEx +$9,050,000, OPEX +$273,750/yr, NPV -$10,886,884.78 for a +300m translation",high,n/a
Did building rotation alter economics?,chart 13,No -- PHYSICALLY_INVARIANT_FOR_THIS_TRANSFORM (rotation about the connection point itself),high,"A rotation combined with a non-zero connection-point offset from the building's local origin was not tested this build (would be expected to change economics, per the off-axis room test in chart 04/13)"
Did scanner movement behave causally correctly?,"chart 15, test_canonical_global_position_closure.py::TestScannerRelocationCausalSeparation","Yes -- release->administration retention for an already-injected patient is unaffected by scanner position, confirmed by source-line audit of hybrid_optimization.py's retention computation",high,"Room->scanner travel time/escort workload is NOT currently modeled as a function of scanner coordinate -- disclosed, not fabricated"
Does Automated Conventional now genuinely represent Cluster + Distribution?,"chart 05/16: CLUSTER porter labor + DISTRIBUTION AGV/PTS fleet+last-mile, both reported separately","Yes (established in Build 1, re-confirmed live this build)",high,n/a
Does MRT economics consume actual guideway/fleet quantities?,"chart 02/17: mrt_carriers=2, guideway=90.0h/24.0v/12 transitions for full-MRT case, all real (workload/geometry-derived)","Yes, confirmed via direct code trace (Build 1) and reconfirmed via a proof test showing these quantities change with MRT floor coverage",high,n/a
Does Hybrid use building-level semantics?,chart 18: evaluate_building_level_campus_hybrid wraps campus_retrofit_benchmark's Building A=Conventional/Building B=MRT model,Yes for the capital-project controlled comparison; the zone-level Hybrid optimizer remains separately available and unchanged,high,n/a
Is the engineering contract ready for future drag-and-drop Live 3D?,"chart 19: What-If dependency trace demonstrates object change -> affected authority -> engineering quantity -> economic quantity -> unaffected quantity, for 3 concrete scenarios","Partially -- the canonical global-position accumulation (Section 17 gap) is now closed and demonstrated end-to-end for the campus/room cases; UI/UX and a general-purpose 'any object, any property' What-If dispatcher were explicitly out of scope for this build",medium,"interactive_spatial_authoring.py's move/rotate operations still do not automatically trigger route/CapEx recomputation (disclosed pre-existing limitation, Section 26 non-goal)"
What remains before Build 3?,chart 21,See Limitations/NOT_CALIBRATED chart,-,-
