Item,Value
Build,Build 2 -- Authoritative Four-Architecture Capital Comparison + Spatial Sensitivity Qualification
Purpose,"Prove capital-project digital twin independently engineers 4 architectures, consumes authoritative quantities, compares economically, reacts to geometry"
Starting baseline,"Build 1 (four_architecture_repository_first_closure_report.md): 2334 passed, 3 deselected, 0 failed"
Files changed,"whole_oncology_four_architecture_optimization.py, canonical_spatial_authority.py, test_whole_oncology_four_architecture_optimization.py, test_whole_oncology_patient_identity_unification.py"
Files added,"test_canonical_global_position_closure.py, test_conventional_route_spatial_sensitivity.py, four_architecture_capital_spatial_sensitivity_BUILD2_REPORT.md"
Authorities reused,"whole_oncology_four_architecture_optimization, hybrid_optimization, campus_retrofit_benchmark, conventional_transport_authority, infrastructure_capex, infrastructure_opex, lifecycle_economics, shared_mrt_multistream_authority, canonical_spatial_authority (Transform/Registry), multi_isotope_decay"
Authorities added,"canonical_spatial_authority.resolve_global_position/compute_global_distance/replace_transform (rigid-body accumulation, genuine gap closed); whole_oncology_four_architecture_optimization.evaluate_building_level_campus_hybrid_from_canonical_geometry/build_default_campus_canonical_registry"
Authorities modified,"whole_oncology_four_architecture_optimization._evaluate_mrt_style_architecture (automation_or_mrt_fte bound to authoritative OPEX ledger, replacing dead arithmetic)"
New tests,15 (test_canonical_global_position_closure.py) + 7 (test_conventional_route_spatial_sensitivity.py) + 3 (test_whole_oncology_four_architecture_optimization.py) + 1 (dead-code binding test) = 26
Runtime,see chart 22 (tests)
Final regression,see chart 22 (tests) -- filled in after full run completes
