Quantity,Authoritative Producer,Consumer,Binding Path,Status,Notes
Conventional spatial/retention envelope,spatial_benchmark.compute_retention_envelope,hybrid_optimization.evaluate_hybrid_zone_candidate,evaluate_manual_conventional -> _nuclear_result -> evaluate_hybrid_zone_candidate,BOUND,"Build 1, unchanged"
MRT carrier fleet sizing,hybrid_optimization adaptive workload search -> mrt_carrier_fleet.resolve_mrt_carrier_fleet,shared_mrt_multistream_authority.compute_shared_mrt_economic_result,evaluate_hybrid_mrt/evaluate_mrt_dominant -> _nuclear_result -> compute_shared_mrt_economic_result,BOUND,Confirmed Build 1; live values mrt_carriers=2 for full-MRT case
MRT guideway (horizontal/vertical/transitions),hybrid_optimization.compute_inbound_room_guideway_extension (real per-room accumulation),same,same,BOUND,Live: horizontal=90.0m vertical=24.0m transitions=12 for full-MRT case
Automated Conventional AGV/PTS fleet sizing,conventional_transport_authority.agv_required_fleet_size / pts_required_station_count,whole_oncology_four_architecture_optimization.evaluate_automated_conventional,direct call,BOUND (Build 1 fix),Was hardcoded fleet_size=1 pre-Build-1
Automated Conventional landing-point/last-mile timing,conventional_transport_authority.compute_automated_conventional_distribution_timing,evaluate_automated_conventional,direct call,BOUND (Build 1 addition),"New authority, genuine gap closed in Build 1"
automation_or_mrt_fte (MRT support staffing),"infrastructure_opex 'MRT support labor' ledger row (mrt_support_staff_fte=3.0, spatial_benchmark._build_request)",_evaluate_mrt_style_architecture,combined_result.combined_opex_ledger lookup,BOUND (Build 2 fix),Was dead arithmetic (installed_carriers*0.0+3.0); now traced to the real ledger row it always numerically matched
Building-level Hybrid campus separation,"canonical_spatial_authority.compute_global_distance (Build 2, NEW)",evaluate_building_level_campus_hybrid_from_canonical_geometry,"resolve_global_position(BLDG-A), resolve_global_position(BLDG-B) -> Euclidean distance -> campus_retrofit_benchmark.build_two_building_campus_geometry(campus_separation_m=...)","BOUND (Build 2, NEW)",Was a hardcoded float (CAMPUS_SEPARATION_M=500.0) prior to Build 2; now derived from canonical global coordinates
Canonical global position accumulation,"canonical_spatial_authority.resolve_global_position (Build 2, NEW)","evaluate_building_level_campus_hybrid_from_canonical_geometry, tests",parent-chain Transform accumulation: x_global'=Rx_local+t,"BOUND (Build 2, NEW)",Confirmed genuine gap via audit: Transform dataclass existed with full 6DOF but no accumulation function
Infrastructure CapEx,infrastructure_capex.calculate_infrastructure_capex (ledger) / locally-composed equivalent in evaluate_hybrid_zone_candidate,all architecture evaluators,direct calls,BOUND,"Build 1, unchanged"
Infrastructure OPEX,infrastructure_opex.calculate_infrastructure_opex,_build_hybrid_opex_result,direct call,BOUND,"Build 1, unchanged"
Lifecycle economics (NPV/payback),lifecycle_economics.evaluate_lifecycle_economics,"evaluate_hybrid_zone_candidate, campus_retrofit_benchmark",direct calls,BOUND,"Build 1, unchanged"
Retention-qualified throughput,spatial_benchmark._operational_retention_metrics,"hybrid_optimization, _nuclear_result",direct call,BOUND,"Duplicate formula in 3 locations (flagged, not fixed, low priority)"
Scanner->retention causal separation,hybrid_optimization.evaluate_hybrid_zone_candidate (retained_fraction computed from injection_start/release_time only),test_canonical_global_position_closure.py::TestScannerRelocationCausalSeparation,source-line assertion + independent spatial move test,CONFIRMED BY TEST,Scanner position not consumed by retention computation at all (disclosed: room->scanner travel time is NOT modeled as a function of scanner coordinate in this repo)
